Date,Campaign Group,Cost,Impressions ,Clicks ,CPC ,CTR ,Close Rate ,Quotes ,Sales ,CPQ ,CPS 
5/4/2020,RT - Display,5229.4,358378,879,5.949260523,0.002452718,0.147541,61,9,85.72786885,581.0444444
5/4/2020,RT - Facebook,4077.41,170810,374,10.90216578,0.002189567,0.06383,47,3,86.75340426,1359.136667
5/4/2020,RT - YouTube,0,0,0,0,0,0,0,0,0,0
5/5/2020,Brand Search - Bing,6466.72,9611,1282,5.04424337,0.133388825,0.148148,297,44,21.77346801,146.9709091
5/5/2020,Brand Search - Google,83354.9094,16084,8496,9.811076907,0.528226809,0.12909,3912,505,21.30749218,165.0592265
5/5/2020,Monetization ,778.44,73762,378,2.059365079,0.00512459,0,0,0,0,0
5/5/2020,NB Search - Bing,3048.66,4471,196,15.55438776,0.043838068,0.081967,61,5,49.97803279,609.732
5/5/2020,NB Search - Google,24546.41,9868,917,26.76816794,0.092926632,0.101942,412,42,59.57866505,584.4383333
5/5/2020,Prospecting - Discovery,36638.4316,3056225,223483,0.163942813,0.07312387,0.051587,252,13,145.3906016,2818.340892
5/5/2020,Prospecting - Display,0,0,0,0,0,0,1,0,0,0
5/5/2020,Prospecting - Facebook,9092.11,667879,1509,6.025255136,0.002259391,0.010101,297,3,30.61316498,3030.703333
5/5/2020,Prospecting - YouTube,0,0,0,0,0,0,0,0,0,0
5/5/2020,RT - Discovery,3066.3812,429322,6440,0.476146149,0.015000396,0,38,0,80.69424211,0
5/5/2020,RT - Display,5483.9,396712,906,6.052869757,0.002283773,0.065574,61,4,89.9,1370.975
5/5/2020,RT - Facebook,4014.83,162097,393,10.21585242,0.002424474,0.057692,52,3,77.20826923,1338.276667
5/5/2020,RT - YouTube,0,0,0,0,0,0,0,0,0,0
5/6/2020,Brand Search - Bing,7684.41,15805,1787,4.300173475,0.113065486,0.157343,286,45,26.86856643,170.7646667
5/6/2020,Brand Search - Google,79709.3028,15736,8157,9.771889518,0.518365531,0.133142,3823,509,20.84993534,156.599809
5/6/2020,Monetization ,811.8,83506,420,1.932857143,0.005029579,0,0,0,0,0
5/6/2020,NB Search - Bing,2893.96,3357,180,16.07755556,0.053619303,0.064516,62,4,46.67677419,723.49
5/6/2020,NB Search - Google,24762.06,9984,944,26.23099576,0.094551282,0.078886,431,34,57.45257541,728.2958824
5/6/2020,Prospecting - Discovery,34894.5468,2465471,168075,0.207612951,0.068171558,0.030534,262,8,133.1852931,4361.81835
5/6/2020,Prospecting - Facebook,8844.97,798784,1668,5.302739808,0.002088174,0.036424,302,11,29.28798013,804.0881818
5/6/2020,Prospecting - Native,0,0,0,0,0,0,1,0,0,0
5/6/2020,Prospecting - YouTube,0,0,0,0,0,0,0,0,0,0
5/6/2020,RT - Discovery,3376.0131,442506,6835,0.493930227,0.015446118,0.086957,23,2,146.7831783,1688.00655
5/6/2020,RT - Display,6381,364306,840,7.596428571,0.002305754,0.084746,59,5,108.1525424,1276.2
5/6/2020,RT - Facebook,4065.45,173489,382,10.64253927,0.002201869,0.036364,55,2,73.91727273,2032.725
5/6/2020,RT - YouTube,0,0,0,0,0,0,1,0,0,0
5/7/2020,Brand Search - Bing,7881.17,16532,1644,4.793899027,0.099443504,0.156134,269,42,29.29802974,187.6469048
5/7/2020,Brand Search - Google,84591.1554,15325,8152,10.37673643,0.531941272,0.140099,3833,537,22.06917699,157.5254291
5/7/2020,Monetization ,944.5,111521,450,2.098888889,0.004035114,0,0,0,0,0
5/7/2020,NB Search - Bing,2997.07,3391,184,16.28842391,0.05426128,0.080645,62,5,48.33983871,599.414
5/7/2020,NB Search - Google,23178.04,9829,862,26.88867749,0.087699664,0.055046,436,24,53.1606422,965.7516667
5/7/2020,Prospecting - Discovery,26475.7809,1910160,145184,0.182360184,0.076006198,0.02521,238,6,111.2427769,4412.63015
5/7/2020,Prospecting - Display,0,0,0,0,0,0,1,0,0,0
5/7/2020,Prospecting - Facebook,8941.67,855867,1724,5.186583527,0.002014332,0.003636,275,1,32.51516364,8941.67
5/7/2020,Prospecting - YouTube,0,0,0,0,0,0,2,0,0,0
5/7/2020,RT - Discovery,2709.5519,323609,6170,0.439149417,0.019066219,0.095238,42,4,64.51314048,677.387975
5/7/2020,RT - Display,4520.3,322082,751,6.019041278,0.002331704,0.081633,49,4,92.25102041,1130.075
5/7/2020,RT - Facebook,4160.2101,193416,429,9.697459441,0.002218017,0.068182,44,3,94.55022955,1386.7367
5/7/2020,RT - YouTube,0,0,0,0,0,0,0,0,0,0
5/8/2020,Brand Search - Bing,6729.97,16697,1305,5.157065134,0.078157753,0.141176,255,36,26.39203922,186.9436111
